Zone,NE Catchment 2,SW Catchment 4,SW Catchment 2,NE Catchment 3,SW Catchment 5,SW Catchment 7,Upper Lake,Lower Lake,Lower Middle Lake,Upper Middle Lake,NW Catchment,Outlet Catchment,SW Catchment 6,NE Catchment 4,SW Catchment 3,SW Catchment 1,NE Catchment 1
175500-176000,8,7,3,12,23,0,3,0,0,3,22,5,38,12,26,9,16
176000-176400,29,10,9,15,36,1,1,1,0,0,31,9,52,21,55,20,31
176400-176800,24,4,2,8,17,1,0,1,0,0,15,1,35,12,23,7,18
176800-176900,15,6,2,10,13,1,0,1,0,0,22,6,30,8,30,10,20
176900-177200,16,3,4,9,12,4,0,1,1,1,20,4,40,16,31,10,25
177200-177500,20,12,2,15,13,0,0,1,0,0,16,6,35,14,26,5,15
177500-178100,21,7,0,8,17,1,0,0,0,0,8,5,33,8,29,5,14
178100-178300,8,5,1,2,5,1,0,0,0,0,10,1,20,8,19,3,3
178300-178600,35,11,4,16,20,1,0,1,0,0,37,14,65,15,42,13,22
178600-179200,31,4,2,8,18,1,1,0,0,1,17,3,30,12,39,6,10
179200-179300,45,17,8,21,30,3,0,0,0,0,36,12,49,22,50,9,31
179300-179600,13,4,2,7,10,1,0,2,0,0,21,6,37,10,24,6,18
179600-180000,20,2,2,13,16,1,0,0,0,1,19,5,33,11,21,7,19
180000-180100,30,4,6,9,19,1,2,0,0,5,37,5,54,16,31,12,18
180100-180200,15,4,3,5,15,0,0,1,0,1,23,5,27,10,20,9,16
180200-180800,14,8,3,7,12,0,0,2,0,0,15,3,32,10,31,9,10
180800-181000,12,3,3,3,17,0,0,1,0,0,22,3,27,18,31,9,17
181000-181100,16,6,2,14,12,2,0,1,0,0,14,5,25,9,20,8,8
181100-182000,14,4,7,5,8,0,0,0,1,0,17,6,25,10,29,6,18
182000-182200,6,6,3,6,14,0,0,0,0,0,15,5,22,9,37,2,8
182200-182300,27,5,8,17,16,2,0,0,1,0,40,8,49,17,46,10,19
182300-183200,13,6,5,5,17,1,0,1,0,0,12,4,30,12,28,6,17
183200-183500,19,13,3,13,7,0,0,0,0,0,19,3,20,4,27,8,20
183500-183600,9,5,5,2,12,0,0,0,0,0,10,0,26,9,25,3,6
